ltable_ASIN,rtable_NID
B00ATX9Y3C,N82E16811352031
B00AXUTKEE,N82E16835709020
B00B0CQCCC,N82E16833156436
B00B229W04,9SIA2W02KN0962
B00BCEK2LA,9SIA9JN3S49152
B00BCEK2LK,9SIA4RE2WD7013
B00BCEK2LK,9SIA9JN3T20655
B00BCEK2LU,9SIA4RE4SV4038
B00BCEK2LU,9SIA9N63JX9319
B00BCEK2M4,9SIA9KW4PK6113
B00BFFQN3M,9SIA3TB1HF6350
B00BFOEY3Y,9SIA1JX30T6235
B00BFOEY3Y,N82E16826104928
B00BJ6VAQW,N82E16811133212
B00BKX760S,9SIA6ZP3N68493
B00BQ8RM1A,9SIA4RE2Z37684
B00BQU141C,N82E16828113832
B00BRF95QW,9SIA1N834M2467
B00BWLL9MY,N82E16811139021
B00BYRPPAS,N82E16833127496
B00BZC31WQ,N82E16826105646
B00C0NWAPS,9SIA8H531C4229
B00C8JM9MS,N82E16833320038
B00C914TSM,9SIA6B34TF3477
B00C9V0OBI,9SIABB74AK2773
B00CAJNY16,9SIA1N83FN3752
B00CCIL9NU,9SIA91J44C8658
B00CHXF79W,9SIA1JX4WN4905
B00CI3BISU,9SIA4T01GT7464
B00CI3BLPA,9SIA4P01PE9175
B00CI3BLPA,9SIA57Z22F1945
B00CI3BLPA,N82E16822236747
B00CJD4HD2,9SIA4RE2AW8464
B00CJD4HD2,9SIACB954S5795
B00CJZPRD4,N82E16811146069
B00CLBZAHY,9SIA1N83U88498
B00CLBZAWY,N82E16819113326
B00CO8TA4I,9SIAAEE57D9077
B00COGLBPQ,N82E16820231666
B00CPLGFM4,N82E16819113335
B00CPLGFME,9SIA1UH40S6573
B00CQ35HBQ,N82E16820239697
B00CXI0BAG,9SIA4RE5473117
B00CZ6JG8O,N82E16811353002
B00D19HE1U,N82E16833320091
B00D3Y7P44,N82E16811353001
B00D5XAN06,N82E16820233538
B00D5ZZZFC,9SIABRA4T47768
B00D5ZZZMU,9SIABB74HH5945
