ASIN,AMAZON_RATING_1,AMAZON_RATING_2,AMAZON_RATING_3,AMAZON_RATING_4,AMAZON_RATING_5,AMAZON_RATING_AVG
['B009S1NTUU'],0,0,50,0,50,4.0
['B009SM8EX6'],17,3,11,26,43,3.75
['B009SM8F6M'],0,50,0,0,50,3.5
['B009SM8GDO'],0,0,0,0,0,0.0
['B009SM8GYS'],15,3,8,20,54,3.95
['B009V00K3W'],18,11,9,21,41,3.5600000000000005
['B009V52440'],0,0,4,10,86,4.82
['B009VCAJ7W'],3,2,5,10,80,4.62
['B009VV56TO'],7,2,5,3,83,4.53
['B009WIW9GE'],0,0,2,6,92,4.9
['B009YZXOVE'],18,14,11,17,40,3.47
['B00A0EPNPI'],7,7,3,17,66,4.28
['B00A0HZNDW'],17,3,2,10,68,4.090000000000001
['B00A14ZUIM'],32,7,12,22,27,3.0500000000000003
['B00A1ZTZOG'],7,2,4,12,75,4.46
['B00A3Q76WG'],0,0,0,0,100,5.0
['B00A72ZQK0'],13,5,8,16,58,4.01
['B00AAJ0ZGK'],1,2,6,25,66,4.53
['B00AAS88K6'],18,9,16,19,38,3.5
['B00ABS62C6'],18,8,8,8,58,3.8
['B00ABS62C6'],18,8,8,8,58,3.8
['B00AI8LI1O'],7,2,4,16,71,4.42
['B00AJILG1K'],10,3,8,19,60,4.16
['B00ALK3KEM'],9,4,4,13,70,4.3100000000000005
['B00ALK3KEM'],9,4,4,13,70,4.3100000000000005
['B00AQ5PK6I'],13,9,8,9,61,3.96
['B00ATX9Y3C'],3,0,3,18,76,4.64
['B00AXUTKEE'],3,1,1,14,81,4.69
['B00B0CQCCC'],20,12,10,16,42,3.48
['B00B229W04'],16,3,4,13,64,4.0600000000000005
['B00BCEK2LA'],4,3,5,16,72,4.489999999999999
['B00BCEK2LK'],16,9,13,23,39,3.6
['B00BCEK2LK'],16,9,13,23,39,3.6
['B00BCEK2LU'],6,7,11,23,53,4.1000000000000005
['B00BCEK2LU'],6,7,11,23,53,4.1000000000000005
['B00BCEK2M4'],12,5,12,20,51,3.9299999999999997
['B00BFFQN3M'],13,5,5,15,62,4.08
['B00BFOEY3Y'],7,8,11,22,52,4.04
['B00BFOEY3Y'],7,8,11,22,52,4.04
['B00BJ6VAQW'],1,1,6,24,68,4.57
['B00BKX760S'],3,5,3,22,67,4.45
['B00BQ8RM1A'],4,1,3,12,80,4.63
['B00BQU141C'],13,6,7,18,56,3.9800000000000004
['B00BRF95QW'],0,0,0,0,0,0.0
['B00BWLL9MY'],1,1,3,15,80,4.72
['B00BYRPPAS'],14,6,9,21,50,3.87
['B00BZC31WQ'],11,7,11,16,55,3.97
['B00C0NWAPS'],38,10,7,9,36,2.9499999999999997
['B00C8JM9MS'],0,0,0,0,0,0.0
