asin,name,brand,category,price,review_count,info
B009RBN6I6,Crucial 4GB Single 1600MHz (PC3-12800) CL11 204-Pin SODIMM DDR3L-SDRAM Memory (CT51264BF160BJ),Crucial,172500,$27.46,243,"B009RBN6I6 4.7 out of 5 stars 0.3 ounces ( ) January 14, 2013 4 GB DDR3L 1600 1600 MHz Crucial CT51264BF160BJ CT51264BF160BJ 0.3 ounces 7 x 0.4 x 5 inches 7 x 0.44 x 5 inches Multicolor DDR3 SDRAM 1.5 volts"
B00F902QY4,"ADATA XPG V1 DDR3 1600MHz (PC3 12800) 16GB (8GBx2) Memory Modules, Blue (AX3U1600W8G11-DD)",ADATA,172500,$ 9 3 . 8 1,176,"B00F902QY4 4.8 out of 5 stars 3.2 ounces Item can be shipped within U.S. This item is not eligible for international shipping. September 16, 2013 16384 MB DDR3 1600 1600 MHz ADATA AX3U1600W8G11-DD 3.2 ounces 6.6 x 6.5 x 0.7 inches 6.6 x 6.5 x 0.7 inches Blue DDR3 SDRAM 1.5 volts"
B006ON5KZC,Corsair Apple Certified 16GB (2 x 8GB) DDR3 1333 MHz (PC3 10600) Laptop Memory for Mac Model CMSA16GX3M2A1333C9,Corsair,172500,$116.95,755,"B006ON5KZC 4.5 out of 5 stars 2.9 ounces ( ) January 5, 2012 8 GB DDR3 1333 1333 MHz Corsair CMSA16GX3M2A1333C9 N/A 0.8 ounces 13 x 2 x 7.1 inches 13 x 2 x 7.13 inches 1 DDR3 SDRAM 1.5 volts"
B0171GQR0C,G.SKILL 32GB (2 x 16GB) Ripjaws V Series DDR4 PC4-25600 3200MHz for Intel Z170 Platform Desktop Memory Model F4-3200C16D-32GVK,G.Skill,172500,$ 1 3 0 . 8 4,54,"5.5 x 1.6 x 0.4 inches 4.2 ounces 4.2 ounces G.SKILL B0171GQR0C F4-3200C16D-32GVK 4.3 out of 5 stars November 9, 2015 None None"
B015YPB1NK,"CRUCIAL TECHNOLOGY 16GBx2 32GB Kit, DDR4 2133 MT/s DIMM 288 (CT2K16G4DFD8213)",Crucial,172500,$221.99,24,"B015YPB1NK 4.3 out of 5 stars 2.1 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. November 18, 2015 32 GB DDR 400 2133 MHz Crucial CRUCIAL TECHNOLOGY 16GBx2 32GB Kit, DDR4 2133 MT/s DIMM 288 CT2K16G4DFD8213 2.1 ounces 7 x 0.4 x 5 inches 7 x 0.44 x 5 inches DDR4 SDRAM 1.2 volts"
B00OTJZTZE,Corsair Vengeance LPX 32GB (4 x 8GB) DDR4 DRAM 2666MHz (PC4-21300) C16 memory kit for DDR4 Systems,Corsair,172500,$256.72,63,"B00OTJZTZE 4.5 out of 5 stars 5 ounces ( ) August 14, 2014 32 GB DDR2 667 2666 MHz Corsair CMK32GX4M4A2666C16 5 ounces 5.3 x 1.3 x 0.2 inches 5.3 x 1.3 x 0.2 inches Vengeance LPX Black 1 DDR4 SDRAM 1.2 volts"
B000W8UOR4,Plantronics Voyager Legend CS Bluetooth Headset for Mobile Phones - Retail Packaging,Plantronics,172500,$164.95,54,"9.5 x 7.4 x 4.4 inches 1.1 pounds 1.1 pounds ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item is not eligible for international shipping. B000W8UOR4 88863-01 1 Lithium Polymer batteries required. (included) 4.1 out of 5 stars None None"
B005JRH9V2,Corsair Apple Certified 8GB (2x4GB)  DDR3 1333 MHz (PC3 10666) Laptop Memory 1.5V,Corsair,172500,$55.00,384,"B005JRH9V2 4.7 out of 5 stars 0.6 ounces ( ) August 31, 2011 4 GB DDR3 1333 MHz Corsair CMSA8GX3M2A1333C9 N/A 0.3 ounces 0.2 x 0.5 x 0.9 inches 0.18 x 0.48 x 0.94 inches DDR3 SDRAM 1.5 volts"
B002YUF8ZG,Corsair 8GB (2x 4GB) 1333mhz PC3-10666 204-pin DDR3 SODIMM Laptop Memory Kit 1.5V,Corsair,172500,$51.00,2078,"6 x 4.8 x 0.3 inches 1.3 ounces 2.4 ounces ( ) Corsair B002YUF8ZG Made in USA CMSO8GX3M2A1333C9 4.5 out of 5 stars September 14, 2004 None None"
B01BIWMWVS,Crucial 16GB Kit (8GBx2) DDR4 2400 MT/S (PC4-19200) SODIMM 260-Pin Memory (CT2K8G4SFS824A),Crucial,172500,$118.12,45,"B01BIWMWVS 4.7 out of 5 stars 1.4 ounces ( ) Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues. This item can be shipped to select countries outside of the U.S. March 1, 2016 16 GB DRAM 192000 MHz Crucial CT2K8G4SFS824A CT2K8G4SFS824A 0.3 ounces 2.7 x 0.2 x 1.1 inches 2.7 x 0.2 x 1.1 inches DDR4 SDRAM 1.2 volts"
